Midnight City-M83
Flaming Hot Cheetos-Clairo
Ramen & OJ-Joyner Lucas
Ninety-Jaden
GOD.-Kendrick Lamar
FEEL.-Kendrick Lamar
PRIDE-Kendrick Lamar
LUST-Kendrick Lamar
DNA.-Kendrick Lamar
Cellophane-FKA twings
Toxic-Vic Sage
Vibe(If I Back It Up)-Cookiee Kawaii
